category,subject,lecturer,section,post/reply,"number of assignment","number of quiz","total assignment+quiz (including uts)","other activities","link to list of forums","link to list of assignments","link to list of quizzes"
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 6 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 6 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 7 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 7 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 7 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 7 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 8 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 8 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,4,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Eduard Ary Binsar Naibaho","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,4,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 6 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 7 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 7 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 8 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","EDUARD NAIBAHO","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,4,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 6 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 7 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 7 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 8 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Guest user  ","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,4,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 6 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 7 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 7 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 8 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Herlina Lusmeida","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,4,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 5 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 5 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 6 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 7 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 7 Session 2",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 8 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB B 1537","Wijaya Triwacananingrum","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,4,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 5 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 5 Session 2",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 6 Session 2",0,1,0,1,2,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 7 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 8 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Guest user  ","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,6,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 5 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 5 Session 2",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 6 Session 2",0,1,0,1,2,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 7 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 8 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Herlina Lusmeida","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,6,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 5 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 5 Session 2",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 6 Session 2",0,1,0,1,2,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 7 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 8 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Wijaya Triwacananingrum","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,6,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Introductory Section",0,0,0,0,3,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 4 Session 2",0,0,"UTS Pengantar Akuntansi II",1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 5 Session 1",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 5 Session 2",0,1,0,1,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 6 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 6 Session 2",0,1,0,1,2,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 7 Session 1",0,2,0,2,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 7 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 8 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB C 1538","Yanti YANTI","Week 8 Session 2",0,"UAS Pengantar Akun 2 + Lab",0,2,6,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Introductory Section",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 1 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 1 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 2 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 2 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 3 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 3 Session 2",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 4 Session 1",0,0,0,0,0,Link,Link,Link
"Semester Genap 2019/2020","PENGANTAR AKUNTANSI 2 + LAB D 1539","Guest user  ","Week 4 Session 2",0,0,"UTS_Accounting Principle 2",1,0,Link,Link,Link
